Key,Section,Weight,Area,depth,bflange,tweb,tflange,kdes,bf_2tf,h_tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,JModulus,Cw,Qf,Qw,rts,ho
67,W12X252,252.00,74.10,15.40,13.00,1.40,2.25,2.85,2.89,6.96,2720.00,428.00,353.00,6.06,828.00,196.00,127.00,3.34,108.00,35800.00,85.80,213.00,3.93,13.20
68,W12X279,279.00,81.90,15.90,13.10,1.53,2.47,3.07,2.66,6.35,3110.00,481.00,393.00,6.16,937.00,220.00,143.00,3.38,143.00,42000.00,96.00,240.00,4.00,13.40
69,W12X305,305.00,89.50,16.30,13.20,1.63,2.71,3.30,2.45,5.98,3550.00,537.00,435.00,6.29,1050.00,244.00,159.00,3.42,185.00,48600.00,107.00,267.00,4.05,13.60
70,W12X336,336.00,98.90,16.80,13.40,1.78,2.96,3.55,2.26,5.47,4060.00,603.00,483.00,6.41,1190.00,274.00,177.00,3.47,243.00,57000.00,119.00,301.00,4.13,13.80
71,W14X22,22.00,6.49,13.70,5.00,0.23,0.34,0.74,7.46,53.30,199.00,33.20,29.00,5.54,7.00,4.39,2.80,1.04,0.21,314.00,5.34,16.10,1.27,13.40
72,W14X26,26.00,7.69,13.90,5.03,0.26,0.42,0.82,5.98,48.10,245.00,40.20,35.30,5.65,8.91,5.54,3.55,1.08,0.36,405.00,6.76,19.70,1.30,13.50
73,W14X30,30.00,8.85,13.80,6.73,0.27,0.39,0.79,8.74,45.40,291.00,47.30,42.00,5.73,19.60,8.99,5.82,1.49,0.38,887.00,8.34,23.10,1.77,13.40
74,W14X34,34.00,10.00,14.00,6.75,0.29,0.46,0.86,7.41,43.10,340.00,54.60,48.60,5.83,23.30,10.60,6.91,1.53,0.57,1070.00,10.00,26.90,1.80,13.50
75,W14X38,38.00,11.20,14.10,6.77,0.31,0.52,0.92,6.57,39.60,385.00,61.50,54.60,5.87,26.70,12.10,7.88,1.55,0.80,1230.00,11.30,30.30,1.82,13.60
76,W14X43,43.00,12.60,13.70,8.00,0.31,0.53,1.12,7.54,37.40,428.00,69.60,62.60,5.82,45.20,17.30,11.30,1.89,1.05,1950.00,13.40,34.00,2.18,13.20
77,W14X48,48.00,14.10,13.80,8.03,0.34,0.60,1.19,6.75,33.60,484.00,78.40,70.20,5.85,51.40,19.60,12.80,1.91,1.45,2240.00,15.10,38.30,2.20,13.20
78,W14X53,53.00,15.60,13.90,8.06,0.37,0.66,1.25,6.11,30.90,541.00,87.10,77.80,5.89,57.70,22.00,14.30,1.92,1.94,2540.00,16.80,42.50,2.22,13.20
79,W14X61,61.00,17.90,13.90,10.00,0.38,0.65,1.24,7.75,30.40,640.00,102.00,92.10,5.98,107.00,32.80,21.50,2.45,2.19,4710.00,20.60,50.20,2.78,13.30
80,W14X68,68.00,20.00,14.00,10.00,0.42,0.72,1.31,6.97,27.50,722.00,115.00,103.00,6.01,121.00,36.90,24.20,2.46,3.01,5380.00,22.90,56.00,2.80,13.30
81,W14X74,74.00,21.80,14.20,10.10,0.45,0.79,1.38,6.41,25.40,795.00,126.00,112.00,6.04,134.00,40.50,26.60,2.48,3.87,5990.00,25.40,62.20,2.83,13.40
82,W14X82,82.00,24.00,14.30,10.10,0.51,0.86,1.45,5.92,22.40,881.00,139.00,123.00,6.05,148.00,44.80,29.30,2.48,5.07,6710.00,27.60,68.20,2.85,13.40
